date,holiday_val_factor,weekday_factor,month_factor,lock_down_factor,covid_severity,sunlight_time_minutes,production_capacity_rate,price_of_electricity,usdtry
2017-01-01,1.0,7.0,1.0,0.0,0.0,558,77.0,20.5219,3.5277
2017-01-02,0.0,1.0,1.0,0.0,0.0,558,77.0,20.5219,3.5445
2017-01-03,0.0,2.0,1.0,0.0,0.0,559,77.0,20.5219,3.5943
2017-01-04,0.0,3.0,1.0,0.0,0.0,560,77.0,20.5219,3.5713
2017-01-05,0.0,4.0,1.0,0.0,0.0,561,77.0,20.5219,3.5927
2017-01-06,0.0,5.0,1.0,0.0,0.0,562,77.0,20.5219,3.6445
2017-01-07,0.0,6.0,1.0,0.0,0.0,563,77.0,20.5219,3.6445
2017-01-08,0.0,7.0,1.0,0.0,0.0,564,77.0,20.5219,3.6445
2017-01-09,0.0,1.0,1.0,0.0,0.0,565,77.0,20.5219,3.7129
2017-01-10,0.0,2.0,1.0,0.0,0.0,567,77.0,20.5219,3.7885
2017-01-11,0.0,3.0,1.0,0.0,0.0,568,77.0,20.5219,3.8647
2017-01-12,0.0,4.0,1.0,0.0,0.0,569,77.0,20.5219,3.7597
2017-01-13,0.0,5.0,1.0,0.0,0.0,570,77.0,20.5219,3.7230000000000003
2017-01-14,0.0,6.0,1.0,0.0,0.0,573,77.0,20.5219,3.7230000000000003
2017-01-15,0.0,7.0,1.0,0.0,0.0,574,77.0,20.5219,3.7230000000000003
2017-01-16,0.0,1.0,1.0,0.0,0.0,576,77.0,20.5219,3.8042
2017-01-17,0.0,2.0,1.0,0.0,0.0,577,77.0,20.5219,3.761
2017-01-18,0.0,3.0,1.0,0.0,0.0,579,77.0,20.5219,3.7966
2017-01-19,0.0,4.0,1.0,0.0,0.0,580,77.0,20.5219,3.8273
2017-01-20,0.0,5.0,1.0,0.0,0.0,582,77.0,20.5219,3.7655
2017-01-21,0.0,6.0,1.0,0.0,0.0,584,77.0,20.5219,3.7655
2017-01-22,0.0,7.0,1.0,0.0,0.0,586,77.0,20.5219,3.7655
2017-01-23,0.0,1.0,1.0,0.0,0.0,588,77.0,20.5219,3.7573
2017-01-24,0.0,2.0,1.0,0.0,0.0,589,77.0,20.5219,3.7833
2017-01-25,0.0,3.0,1.0,0.0,0.0,591,77.0,20.5219,3.8313
2017-01-26,0.0,4.0,1.0,0.0,0.0,594,77.0,20.5219,3.844
2017-01-27,0.0,5.0,1.0,0.0,0.0,596,77.0,20.5219,3.8775
2017-01-28,0.0,6.0,1.0,0.0,0.0,598,77.0,20.5219,3.8775
2017-01-29,0.0,7.0,1.0,0.0,0.0,599,77.0,20.5219,3.8775
2017-01-30,0.0,1.0,1.0,0.0,0.0,602,77.0,20.5219,3.7818
2017-01-31,0.0,2.0,1.0,0.0,0.0,604,77.0,20.5219,3.7734
2017-02-01,0.0,3.0,2.0,0.0,0.0,606,76.8,20.5219,3.7705
2017-02-02,0.0,4.0,2.0,0.0,0.0,608,76.8,20.5219,3.7371
2017-02-03,0.0,5.0,2.0,0.0,0.0,611,76.8,20.5219,3.6976
2017-02-04,0.0,6.0,2.0,0.0,0.0,613,76.8,20.5219,3.6976
2017-02-05,0.0,7.0,2.0,0.0,0.0,615,76.8,20.5219,3.6976
2017-02-06,0.0,1.0,2.0,0.0,0.0,617,76.8,20.5219,3.6839
2017-02-07,0.0,2.0,2.0,0.0,0.0,621,76.8,20.5219,3.7451
2017-02-08,0.0,3.0,2.0,0.0,0.0,623,76.8,20.5219,3.7178
2017-02-09,0.0,4.0,2.0,0.0,0.0,625,76.8,20.5219,3.6831
2017-02-10,0.0,5.0,2.0,0.0,0.0,627,76.8,20.5219,3.6953
2017-02-11,0.0,6.0,2.0,0.0,0.0,630,76.8,20.5219,3.6953
2017-02-12,0.0,7.0,2.0,0.0,0.0,633,76.8,20.5219,3.6953
2017-02-13,0.0,1.0,2.0,0.0,0.0,635,76.8,20.5219,3.6717
2017-02-14,0.0,2.0,2.0,0.0,0.0,637,76.8,20.5219,3.6503
2017-02-15,0.0,3.0,2.0,0.0,0.0,639,76.8,20.5219,3.6601
2017-02-16,0.0,4.0,2.0,0.0,0.0,643,76.8,20.5219,3.6666
2017-02-17,0.0,5.0,2.0,0.0,0.0,645,76.8,20.5219,3.6289999999999996
2017-02-18,0.0,6.0,2.0,0.0,0.0,648,76.8,20.5219,3.6289999999999996
2017-02-19,0.0,7.0,2.0,0.0,0.0,650,76.8,20.5219,3.6289999999999996
2017-02-20,0.0,1.0,2.0,0.0,0.0,653,76.8,20.5219,3.6245
2017-02-21,0.0,2.0,2.0,0.0,0.0,656,76.8,20.5219,3.6203
2017-02-22,0.0,3.0,2.0,0.0,0.0,658,76.8,20.5219,3.5802
2017-02-23,0.0,4.0,2.0,0.0,0.0,661,76.8,20.5219,3.5691
2017-02-24,0.0,5.0,2.0,0.0,0.0,663,76.8,20.5219,3.6069999999999998
2017-02-25,0.0,6.0,2.0,0.0,0.0,666,76.8,20.5219,3.6069999999999998
2017-02-26,0.0,7.0,2.0,0.0,0.0,669,76.8,20.5219,3.6069999999999998
2017-02-27,0.0,1.0,2.0,0.0,0.0,672,76.8,20.5219,3.6072
2017-02-28,0.0,2.0,2.0,0.0,0.0,674,76.8,20.5219,3.6472
2017-03-01,0.0,3.0,3.0,0.0,0.0,677,76.7,20.5219,3.6543
2017-03-02,0.0,4.0,3.0,0.0,0.0,679,76.7,20.5219,3.728
2017-03-03,0.0,5.0,3.0,0.0,0.0,682,76.7,20.5219,3.7029
2017-03-04,0.0,6.0,3.0,0.0,0.0,685,76.7,20.5219,3.7029
2017-03-05,0.0,7.0,3.0,0.0,0.0,688,76.7,20.5219,3.7029
