"","Date","Hour","Consumption","T_1","T_2","T_3","T_4","T_5","T_6","T_7"
"1",2021-01-08,0,34126.16,3.15,12.06,11.73,4.8,8.39,5.2,13.42
"2",2021-01-08,1,32351.64,2.68,11.7,11.54,4.72,8.12,5.38,13.28
"3",2021-01-08,2,31140.53,2.56,11.43,11.35,4.72,7.62,5.68,13.12
"4",2021-01-08,3,30302.51,2.22,11.23,11.16,3.77,7.36,5.32,12.83
"5",2021-01-08,4,30075.62,2.29,11.23,10.9,3.44,7.41,4.78,12.95
"6",2021-01-08,5,30347.68,1.69,11.05,10.89,3.24,7.38,5.01,12.94
"7",2021-01-08,6,31101.79,1.31,10.95,10.82,3.26,7.44,4.5,13.01
"8",2021-01-08,7,32975.35,1.29,10.74,10.75,3.17,7.48,4.43,13.02
"9",2021-01-08,8,37185.37,1.15,10.38,10.8,2.97,7.41,4.37,12.7
"10",2021-01-08,9,40458.96,3.74,11.67,11.08,4.32,7.5,5.44,12.82
"11",2021-01-08,10,41592.27,7.08,14.02,12.53,6.98,8.7,7.32,13.17
"12",2021-01-08,11,42005.09,8.08,15.7,14.59,8.62,11.13,8.63,13.93
"13",2021-01-08,12,40496.14,8.75,17.02,16.38,10.03,13.02,9.55,14.36
"14",2021-01-08,13,39859.36,9.05,18.09,17.62,11.33,13.68,10.31,14.84
"15",2021-01-08,14,40986.25,9.16,18.6,18.31,12.26,14.45,10.79,15.41
"16",2021-01-08,15,40387.62,8.84,18.73,18.71,12.53,14.8,11.28,15.8
"17",2021-01-08,16,40288.81,8.45,18.7,18.35,12.47,14.29,11.37,15.84
"18",2021-01-08,17,40471.04,7.25,16.28,17.51,10.89,13.05,10.12,15.69
"19",2021-01-08,18,40533.3,4,13.98,15.49,8.08,10.98,8.18,15.52
"20",2021-01-08,19,39519.35,3.55,13.5,14.4,7.43,9.78,7.6,15.55
"21",2021-01-08,20,38408.87,2.89,13.11,14.14,6.85,9.24,7.15,15.47
"22",2021-01-08,21,37629.97,2.33,12.45,14,6.3,8.88,6.87,15.31
"23",2021-01-08,22,36884.8,2.21,11.96,13.96,5.89,9.15,6.72,15.25
"24",2021-01-08,23,35845.08,2,11.29,13.96,5.6,8.99,6.31,15.07
"25",2021-01-09,0,34179.62,1.69,10.91,14.06,5.35,8.36,5.94,14.87
"26",2021-01-09,1,32540.12,1.53,10.54,13.99,5.03,7.65,5.53,14.66
"27",2021-01-09,2,31207.36,1.38,10.41,13.89,4.73,7.68,5.34,14.58
"28",2021-01-09,3,30300.31,1.16,10.31,13.91,4.38,7.44,4.88,14.41
"29",2021-01-09,4,29733.83,1.07,10.29,13.93,4.28,7.13,4.47,14.47
"30",2021-01-09,5,29862.21,1.15,10.15,13.83,4.13,6.63,4.46,14.31
"31",2021-01-09,6,30043.88,1.1,10.05,13.4,3.91,6.76,4.58,14.14
"32",2021-01-09,7,30751.12,1.08,9.95,13.37,3.91,7.03,4.35,14.2
"33",2021-01-09,8,32581.69,1.07,9.63,14.09,3.93,7.24,3.86,14.65
"34",2021-01-09,9,34678.94,3.61,11.04,14.26,4.89,8.12,4.55,14.85
"35",2021-01-09,10,36166.38,6.88,13.62,14.76,6.76,9.72,7.15,11.89
"36",2021-01-09,11,37487.93,8.14,15.49,16.02,8.58,12.11,8.51,10.45
"37",2021-01-09,12,37211.8,8.99,17.2,17.05,10.17,12.79,9.78,10.52
"38",2021-01-09,13,37810.82,9.29,18.03,17.85,11.47,13.63,10.49,10.39
"39",2021-01-09,14,38101.1,9.46,18.43,17.74,12.51,13.29,11.3,10.45
"40",2021-01-09,15,37558.51,9.16,18.47,17.1,12.67,12.48,11.65,10.28
"41",2021-01-09,16,37309.02,8.28,18.36,16.76,12.36,11.86,11.42,9.8
"42",2021-01-09,17,37765.19,6.84,15.78,16.66,11.19,11.41,10.64,9.52
"43",2021-01-09,18,38809.94,3.77,13.23,15.64,9.76,11.12,9.91,9.52
"44",2021-01-09,19,37942.62,4.21,12.62,15.15,9.58,9.7,9.75,9.42
"45",2021-01-09,20,36954.46,4.06,12.49,14.9,8.97,9.96,9.26,9.5
