date,Consumption,reduced_temp,holiday_val(as_factor),weekday(as_factor),lock_down(as_factor),covid_severity,sunlight_time_minutes,production_capacity_rate,price_of_electricity,laborforce,unemployment,export,import,di
2017-01-01,623400.329,-11.830379668208302,1,7.0,0,0.0,558,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-02,751052.6005,-7.65583376666667,0,1.0,0,0.0,558,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-03,784007.3684,-7.59807023054167,0,2.0,0,0.0,559,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-04,796581.9496,-0.7089870785833331,0,3.0,0,0.0,560,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-05,787799.5174,10.210828235291698,0,4.0,0,0.0,561,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-06,765935.4572,11.9315103035833,0,5.0,0,0.0,562,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-07,732640.4516,-0.6995870217916671,0,6.0,0,0.0,563,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-08,681312.3863,-7.72599780466667,0,7.0,0,0.0,564,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-09,784143.5851,-13.0119280950833,0,1.0,0,0.0,565,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-10,799766.9116,-4.952981645875,0,2.0,0,0.0,567,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-11,788201.085,1.0142910805,0,3.0,0,0.0,568,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-12,791501.0677,2.42612832620833,0,4.0,0,0.0,569,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-13,785113.9895,-2.73028152045833,0,5.0,0,0.0,570,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-14,747621.6648,1.55391121595833,0,6.0,0,0.0,573,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-15,676118.1735,5.32545131625,0,7.0,0,0.0,574,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-16,775969.7453,9.290675144,0,1.0,0,0.0,576,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-17,780892.5681,10.311960172458301,0,2.0,0,0.0,577,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-18,777618.6154,9.242822058916671,0,3.0,0,0.0,579,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-19,781597.9596,7.31599791858333,0,4.0,0,0.0,580,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-20,782493.1115,4.82244115491667,0,5.0,0,0.0,582,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-21,745628.1205,0.7316314148749999,0,6.0,0,0.0,584,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-22,671953.5581,-2.39967681566667,0,7.0,0,0.0,586,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-23,773807.3787,-0.27576592004166606,0,1.0,0,0.0,588,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-24,794345.3951,4.56584039608333,0,2.0,0,0.0,589,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-25,803036.3246,5.305697055,0,3.0,0,0.0,591,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-26,809470.5787,0.637078874375,0,4.0,0,0.0,594,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-27,810258.4581,-10.387301957,0,5.0,0,0.0,596,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-28,763016.2219,-12.531532525125,0,6.0,0,0.0,598,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-29,679719.9513,-10.432797901499999,0,7.0,0,0.0,599,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-30,795492.7123,-6.956208129249999,0,1.0,0,0.0,602,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-01-31,810189.4036,-12.91365657825,0,2.0,0,0.0,604,77.0,317.1,51.5,13.0,12101.0,15336.0,241.0
2017-02-01,808880.266,-12.2240241165833,0,3.0,0,0.0,606,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-02,804953.2074,-4.9154429941666695,0,4.0,0,0.0,608,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-03,789072.8854,3.15315047020833,0,5.0,0,0.0,611,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-04,749330.8265,10.550158781875,0,6.0,0,0.0,613,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-05,678749.7153,13.932641016875,0,7.0,0,0.0,615,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-06,762323.6837,16.358347968958302,0,1.0,0,0.0,617,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-07,764028.5970000001,16.8075072434167,0,2.0,0,0.0,621,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-08,768892.8813,16.808940971916698,0,3.0,0,0.0,623,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-09,780912.5471,13.925464523499999,0,4.0,0,0.0,625,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-10,776373.3333,11.882104474875,0,5.0,0,0.0,627,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-11,749705.5958,8.89273863808333,0,6.0,0,0.0,630,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-12,682330.7629,2.92494382916667,0,7.0,0,0.0,633,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-13,788342.6485,-3.12352224875,0,1.0,0,0.0,635,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-14,807851.5938,-6.30279251454167,0,2.0,0,0.0,637,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-15,816946.6877,-4.759263695541669,0,3.0,0,0.0,639,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-16,816531.345,-3.201144226375,0,4.0,0,0.0,643,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-17,795914.3173,-1.3460156651666697,0,5.0,0,0.0,645,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-18,756845.8122,6.76072035475,0,6.0,0,0.0,648,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-19,678518.2279,11.861232683541699,0,7.0,0,0.0,650,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-20,768358.1479999999,12.9950008825417,0,1.0,0,0.0,653,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-21,775249.3557,13.600423875208302,0,2.0,0,0.0,656,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-22,776283.9749,14.0538700200417,0,3.0,0,0.0,658,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-23,766286.9058,16.806209624875,0,4.0,0,0.0,661,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-24,758806.4193,18.2591830715833,0,5.0,0,0.0,663,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-25,730370.3098,19.0157415808333,0,6.0,0,0.0,666,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-26,667863.6496,19.441424465625,0,7.0,0,0.0,669,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-27,749783.8394,21.509447424,0,1.0,0,0.0,672,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-02-28,757618.4369,24.527088704,0,2.0,0,0.0,674,76.8,320.49,51.8,44359.0,12984.0,15504.0,187.0
2017-03-01,737262.3929,26.097016436875,0,3.0,0,0.0,677,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-02,748329.6148,21.820829424791697,0,4.0,0,0.0,679,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-03,745437.3048,19.728146943875,0,5.0,0,0.0,682,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-04,710425.7108,18.8578777695,0,6.0,0,0.0,685,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-05,638663.3518,18.808565227375,0,7.0,0,0.0,688,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-06,712865.1426,23.415213647916698,0,1.0,0,0.0,690,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-07,722718.3754,24.9953788760417,0,2.0,0,0.0,693,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-08,731304.6678,24.6565185134167,0,3.0,0,0.0,696,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-09,739938.1953,26.0199207218333,0,4.0,0,0.0,698,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-10,731780.1146,23.88791843875,0,5.0,0,0.0,701,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
2017-03-11,710991.3244,20.564317104,0,6.0,0,0.0,704,76.7,320.39,52.2,44388.0,15554.0,18502.0,409.0
