,date,is_lockdown,is_sun,holiday_val_factor,weekday_factor,covid_severity,production_capacity_rate,price_of_electricity,usdtry
0,2017-01-01 00:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
1,2017-01-01 01:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
2,2017-01-01 02:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
3,2017-01-01 03:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
4,2017-01-01 04:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
5,2017-01-01 05:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
6,2017-01-01 06:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
7,2017-01-01 07:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
8,2017-01-01 08:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
9,2017-01-01 09:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
10,2017-01-01 10:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
11,2017-01-01 11:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
12,2017-01-01 12:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
13,2017-01-01 13:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
14,2017-01-01 14:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
15,2017-01-01 15:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
16,2017-01-01 16:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
17,2017-01-01 17:00:00,0,1,1.0,7.0,0.0,77.0,20.5219,3.5277
18,2017-01-01 18:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
19,2017-01-01 19:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
20,2017-01-01 20:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
21,2017-01-01 21:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
22,2017-01-01 22:00:00,0,0,1.0,7.0,0.0,77.0,20.5219,3.5277
